provider-name,street,city,state,country,number,website link,in this location
SkinSpirit , 3939 24TH ST, SAN FRANCISCO,California, United States     ,(650) 324-3800,https://www.skinspirit.com,Gentle Pro ™  Series
Kaiser Permanente Union City - Cosmetic Dept , 1600 OWENS ST FL 9, SAN FRANCISCO,California, United States     ,7032374014,https://kp.org,"Vbeam ®  Perfecta, Gentle Pro ™  Series"
"Bay Area Cosmetic Dermatology - Kathleen Welsh, MD ", 2299 POST ST STE 312, SAN FRANCISCO,California, United States     ,(415) 292-6350,https://www.weloveskin.com,"Vbeam ®  Perfecta, Gentle Pro ™  Series, PicoWay ®"
SkinSpirit , 3325 SACRAMENTO ST, SAN FRANCISCO,California, United States     ,(650) 324-3800,https://www.skinspirit.com,Gentle Pro ™  Series
UCSF Medical Center , 1701 DIVISADERO ST Room 317, SAN FRANCISCO,California, United States     ,(415) 353–7878,https://www.ucsfhealth.org/clinics/dermatologic_surgery_and_laser_center/,"Vbeam ®  Perfecta, Gentle Pro ™  Series"
DermCare Management LLC , 1 DANIEL BURNHAM CT STE 350C, San Francisco,California, United States     ,(954) 456-5050,https://aventuradermatology.com/,Gentle Pro ™  Series
Kaiser Health Plan Asset Management - Walnut Creek ," KAISER PERMANENTE, 450 6TH AVE, 3RD FL DERMATOLOGY (Pastur)", Walnut Creek,California, United States     ,,,
Dermatology Medical Group of San Francisco , 490 POST ST STE 700, SAN FRANCISCO,California, United States     ,(415) 362-2238,http://dermsf.com,"Gentle Pro ™  Series, Vbeam ®  Perfecta"
City Skin and Laser Clinic , 111 MAIDEN LN STE 720, San Francisco,California, United States     ,(415) 362-5555,http://www.citylaserclinic.com/,"Vbeam ®  Perfecta, Gentle Pro ™  Series"
VA San Francisco Healthcare System , 4150 CLEMENT ST, San Francisco,California, United States     ,415-802-8730,https://va.gov,Gentle Pro ™  Series
Skin Medical Spa , 1825 UNION ST, SAN FRANCISCO,California, United States     ,(415) 409-6500,https://www.skinmedicalspa.com,"Gentle Pro ™  Series, Vbeam ®  Perfecta"
Spa Radiance , 3011 FILLMORE ST, SAN FRANCISCO,California, United States     ,(415) 346-6281,https://sparadiance.com,Gentle Pro ™  Series
Urban Allure SF , 230 CALIFORNIA ST STE 603, San Francisco,California, United States     ,(415) 399-1300,http://urbanalluresf.com/,Gentle Pro ™  Series
Aura Skin Spa , 118 COLUMBUS AVE, San Francisco,California, United States     ,(415) 788-3800,https://www.auraskinspa.com,"Gentle Pro ™  Series, VelaShape ® , Exceed ™"
Kaiser Permanante* - , 801 TRAEGER AVE STE 310, SAN BRUNO,California, United States     ,(916) 973-5541,http://www.kpcosmeticservices.com/locations/sacramento-cosmetic-services.cfm,Gentle Pro ™  Series
Reviv Med Spa , 31 S EL CAMINO REAL, MILLBRAE,California, United States     ,(650) 697-3339,http://www.revivmedspa.com/,Gentle Pro ™  Series
SkinSpirit , 1375 BURLINGAME AVE, BURLINGAME,CALIFORNIA, United States     ,(650) 324-3800,https://www.skinspirit.com,Gentle Pro ™  Series
SEV , 1445 BURLINGAME AVE, BURLINGAME,CALIFORNIA, United States     ,(818) 956-9913,http://sevlaser.com/,Gentle Pro ™  Series
SkinSpirit , 800 REDWOOD HWY FRONTAGE RD STE 610, Mill Valley,California, United States     ,(650) 324-3800,https://www.skinspirit.com,Gentle Pro ™  Series
Forever Young Anti-Aging , 4433 N OAKLAND AVE, Shorewood,Wisconsin, United States     ,(414) 616-3935,http://www.foreveryoungwisconsin.com/#,Gentle Pro ™  Series
"Michael G. Cedars, MD, Inc. ", 3300 WEBSTER ST STE 1106, OAKLAND,California, United States     ,(510) 763-2662,http://drrodan.com/,"Vbeam ®  Perfecta, Gentle Pro ™  Series"
Laub Dermatology & Aesthetics , 591 REDWOOD HWY FRONTAGE RD STE 2210, MILL VALLEY,California, United States     ,(415) 381-6661,https://www.LaubDermatology.com,"Gentle Pro ™  Series, Vbeam ®  Perfecta, Vbeam ®  Prima"
Entrada Medical Group , 215 N SAN MATEO DR STE 1, SAN MATEO,California, United States     ,(650) 515-4402,http://www.enhancemedgroup.com/,Gentle Pro ™  Series
Aesthetic Laser Rentals , 3100 SAN PABLO AVE, BERKELEY,CALIFORNIA, United States     ,(440) 318-4139,,
Allura Skin and Laser Center , 280 BALDWIN AVE, San Mateo,California, United States     ,(650) 344-1121,https://www.alluraskin.com,"Vbeam ®  Perfecta, Gentle Pro ™  Series, CO2RE ®"
SkinSpirit , 2017 MOUNTAIN BLVD, OAKLAND,California, United States     ,(650) 324-3800,https://www.skinspirit.com,Gentle Pro ™  Series
Kaiser Permanente , 10725 INTERNATIONAL DR, Rancho Cordova,California, United States     ,510-207-7960,https://kp.org,Gentle Pro ™  Series
Kaiser Permanente , 2500 MERCED ST, SAN LEANDRO,California, United States     ,510-207-7960,https://kp.org,Gentle Pro ™  Series
BareSkin Laser , 202 PARK RD, WEST HARTFORD,Connecticut, United States     ,(860) 519-1313,,
The Greenwich Medical Skincare & Laser Spa , 140 GLASTONBURY BLVD STE 24, Glastonbury,Connecticut, United States     ,(203) 637-0662,https://www.greenwichmedicalspa.com,Gentle Pro ™  Series
Ideal Image , 1245 NEW BRITAIN AVE, WEST HARTFORD,Connecticut, United States     ,(860) 248-0065,https://www.idealimage.com,Gentle Pro ™  Series
Axxess Spa , 225 OAKLAND RD STE 301, SOUTH WINDSOR,Connecticut, United States     ,(860) 987-2468,,
PIONEER OPTICS COMPANY , 35 GRIFFIN RD S, BLOOMFIELD,Connecticut, United States     ,(860) 286-0071,,
PIONEER OPTICS COMPANY , 1000 OLD COUNTY CIR, Windsor Locks,Connecticut, United States     ,(860) 286-0071,,
Shifa Clinic , 145 UNION ST, VERNON ROCKVILLE,Connecticut, United States     ,(860) 375-8440,https://shifa-clinic.org/,Gentle Pro ™  Series
ARKANSAS CHILDREN'S HOSPITAL , 1 CHILDRENS WAY # 201, LITTLE ROCK,Arkansas, United States     ,(501) 364-2656,https://archildrens.org,"Vbeam ®  Perfecta, Gentle Pro ™  Series"
ARKANSAS CHILDREN'S HOSPITAL , 1900 MARYLAND AVE, LITTLE ROCK,Arkansas, United States     ,(501) 364-2656,https://archildrens.org,"Vbeam ®  Prima, Gentle Pro ™  Series"
University of Arkansas for Medical Sciences , 4018 W CAPITOL AVE, LITTLE ROCK,ARKANSAS, United States     ,(501) 686-8275,https://uams.edu,Gentle Pro ™  Series
ABSOLUTE HAIR REMOVAL CLINIC ," Absolute Hair Removal, 4550 John F. Kennedy Blvd., Vall-Hi 2 Suite C,", SHERWOOD,Arkansas, United States     ,,,
Arkansas Laser & Skin Care , 308 SMOKEY LN, NORTH LITTLE ROCK,Arkansas, United States     ,(501) 771-0445,https://arkansaslaserandskincare.com,"VelaShape ® , Gentle Pro ™  Series"
Advanced Aesthetics of Arkansas , 9500 KANIS RD STE 502, LITTLE ROCK,Arkansas, United States     ,(501) 537-0130,https://www.arkansasplasticsurgery.com,"Vbeam ®  Perfecta, VelaShape ® , Gentle Pro ™  Series"
Ideal Image , 11525 CANTRELL RD STE 103, LITTLE ROCK,Arkansas, United States     ,(860) 248-0065,https://www.idealimage.com,Gentle Pro ™  Series
EveryskinMD , 14810 CANTRELL RD STE 175, LITTLE ROCK,Arkansas, United States     ,(501) 400-5734,https://www.vagaro.com/everyskinmd/,Gentle Pro ™  Series
Seiff Center for Aesthetic and Reconstructive Surgery , 200 BANNING ST STE 370, DOVER,Delaware, United States     ,(302) 678-3443,http://www.seiffcenter.com/,Gentle Pro ™  Series
"COOPER, STEVEN DR. ", 826 SOUTH GOVENOR&#39;S AVENUE, DOVER,Delaware, United States     ,(302) 674-3752,,
Ojima Beauty , 622 W DIVISION ST, DOVER,DELAWARE, United States     ,(443) 488-2326,,
"Laser Beauty Works, LLC d/b/a Laser Beauty Works ", 3141 IRVING ST STE 202, DENVER,Colorado, United States     ,(720) 315-6677,http://www.laserbeautyworks.com/,"Gentle Pro ™  Series, CO2RE ®"
Semper Laser , 3000 E 3RD AVE, DENVER,Colorado, United States     ,(786) 578-3255,https://semperlaser.com,Gentle Pro ™  Series
Adrienne E. Stewart , 3300 E 1ST AVE STE 400, DENVER,Colorado, United States     ,(303) 333-6060,https://www.adriennestewartmd.com,"Gentle Pro ™  Series, VelaShape ® , PicoWay ®"
Simplicity Laser , 760 S COLORADO BLVD UNIT M, DENVER,Colorado, United States     ,"prim (800) 559-9138 , sec-801-372-7287",https://www.simplicitylaser.com/,Gentle Pro ™  Series
Ideal Image , 915 S COLORADO BLVD, DENVER,Colorado, United States     ,(860) 248-0065,https://www.idealimage.com,Gentle Pro ™  Series
WELLMORE FAMILY PRACTICE , 7777 West 38th Avenue Suite A118, Wheat Ridge,Colorado, United States     ,(303) 403-7350,https://www.sclhealth.org/find-a-doctor/search-results/?SpecialtyGroup=&fullname=&zip=&range=&languages=&AffiliatedLocations=sclp+cosmetic+plastic+surgery+reconstructive+plastic+surgery,Gentle Pro ™  Series
ICON IMAGE CENTER , 3900 East Mexico Street Suite #102, Denver,Colorado, United States     ,,,
Ideal Image , 327 S SAULSBURY ST, LAKEWOOD,Colorado, United States     ,(860) 248-0065,https://www.idealimage.com,Gentle Pro ™  Series
College of International Esthetics , 7330 W 52Nd Ave Unit T, ARVADA,Colorado, United States     ,(720) 540-0333,http://www.cieskincarecollege.com/,Gentle Pro ™  Series
Advanced Dermatology & Cosmetic Surgery - Denver E Havard Ave , 950 E HARVARD AVE STE 440, DENVER,Colorado, United States     ,(303) 744-2704,,
CHPG Women's Health Partner ," 2555 S. Downing St.1st Floor", Denver,Colorado, United States     ,(303) 316-6677,https://www.chpgwomenshealth.org/SNW/Home/,Gentle Pro ™  Series
LAKEWOOD LASER & SKIN RENEWAL , 8015 W ALAMEDA AVE STE 150, LAKEWOOD,Colorado, United States     ,(303) 202-0927,https://lakewoodlaser.com,Gentle Pro ™  Series
"CADE CLINIQUE, INC. ", 2350 S COLORADO BLVD, Denver,Colorado, United States     ,(303) 759-2233,http://cadeclinique.com/,Gentle Pro ™  Series
Semper Laser , 7705 WADSWORTH BLVD Unit 7705K, ARVADA,COLORADO, United States     ,(786) 578-3255,https://semperlaser.com,Gentle Pro ™  Series
University of Colorado , 12348 E MONTVIEW BLVD, AURORA,COLORADO, United States     ,(303) 724-9030,http://www.cu-cosmetics.com/,Gentle Pro ™  Series
Lasair Aesthetic Health , 6780 E HAMPDEN AVE, DENVER,Colorado, United States     ,(303) 782-5082,https://www.lasair.com,"Gentle Pro ™  Series, Profound ™ , CO2RE ®"
Cisneros Center of Obstetrics and Gynecology PLLC , 9981 WASHINGTON ST STE 21, THORNTON,Colorado, United States     ,(303) 252-1247,,
Smooth Solutions , 3600 S BEELER ST STE 210, DENVER,COLORADO, United States     ,7858065544,https://smoothsolutionsdenver.com,"Gentle Pro ™  Series, Exceed ™"
Ideal Image , 3044 W 105TH AVE, WESTMINSTER,Colorado, United States     ,(860) 248-0065,https://www.idealimage.com,Gentle Pro ™  Series
SkinSpirit , 8000 E BELLEVIEW AVE STE B80, GREENWOOD VILLAGE,Colorado, United States     ,(650) 324-3800,https://www.skinspirit.com,Gentle Pro ™  Series
Posh Medical Beauty Spa , 8000 E PRENTICE AVE STE B12, GREENWOOD VILLAGE,COLORADO, United States     ,(720) 525-6522,,
"JACKSON, FRANK d/b/a ", 7800 S ELATI ST STE 302, LITTLETON,COLORADO, United States     ,(303) 797-0206,,
KAISER PERMANENTE , 5555 E ARAPAHOE RD, CENTENNIAL,Colorado, United States     ,(720) 536-7773,https://kp.org,"Gentle Pro ™  Series, Vbeam ®  Perfecta"
Simplicity Laser , 7000 S YOSEMITE ST STE 205, CENTENNIAL,Colorado, United States     ,"prim (800) 559-9138 , sec-801-372-7287",https://www.simplicitylaser.com/,Gentle Pro ™  Series
Renu Laser & Skin Care , 1480 W CANAL CT, LITTLETON,Colorado, United States     ,(303) 578-9557,http://www.renulaserandskincare.com/default.aspx,"Gentle Pro ™  Series, Exceed ™"
"Aura, LLC ", 12664 W INDORE PL, LITTLETON,Colorado, United States     ,(303) 933-2872,http://www.theaurasalon.com/about/,"Gentle Pro ™  Series, Exceed ™ , Nordlys ™"
PHOENIX CHILDREN'S HOSPITAL , 2700 N 18TH PL, PHOENIX,Arizona, United States     ,(602) 546-1000,,
"GUERRERO, ROSA ", 933 N 16TH ST STE 102, PHOENIX,Arizona, United States     ,,,
The Skin Bar LLC , 2601 N 3RD ST STE 302, PHOENIX,Arizona, United States     ,(786) 296-9937,,
ADCS - Central Phoenix , 740 E Highland Ave Suite 101, Phoenix,Arizona, United States     ,(602) 264-9044,http://arizonaadvanceddermatology.com/,Gentle Pro ™  Series
D'Image Medi-Spa , 2539 N 35TH AVE, PHOENIX,Arizona, United States     ,(602) 278-3144,http://dimagebeautycollege.com,Gentle Pro ™  Series
"Skin Oasis Medical Spa, LLC ", 4802 N 16Th St, PHOENIX,Arizona, United States     ,(602) 845-9940,,
Metro Vein Centers , 2222 E HIGHLAND AVE, PHOENIX,ARIZONA, United States     ,2482258446,https://metroveincenters.com,Gentle Pro ™  Series
It's A Secret Med Spa , 4637 N 24TH ST, PHOENIX,ARIZONA, United States     ,(469) 789-0004,http://www.secretmedspa.com/,Gentle Pro ™  Series
Innovative Skin Health , 3818 E INDIAN SCHOOL RD, PHOENIX,Arizona, United States     ,(650) 222-0483,,
