provider-name,street,city,state,country,number,website link,in this location
UCSF-Dept of Dermatology , 1001 POTRERO AVE BLDG 90, SAN FRANCISCO,California, United States     ,(628) 206-8680,http://dermpath.ucsf.edu/,Vbeam ®  Perfecta
Richard G. Glogau M.D. INC. , 350 PARNASSUS AVE STE 400, SAN FRANCISCO,California, United States     ,(415) 564-1261,http://www.sfderm.com/,Vbeam ®  Perfecta
Kaiser Permanente Union City - Cosmetic Dept , 1600 OWENS ST FL 9, SAN FRANCISCO,California, United States     ,7032374014,https://kp.org,"Vbeam ®  Perfecta, Gentle Pro ™  Series"
"Bay Area Cosmetic Dermatology - Kathleen Welsh, MD ", 2299 POST ST STE 312, SAN FRANCISCO,California, United States     ,(415) 292-6350,https://www.weloveskin.com,"PicoWay ® , Vbeam ®  Perfecta, Gentle Pro ™  Series"
UCSF Medical Center , 1701 DIVISADERO ST Room 317, SAN FRANCISCO,California, United States     ,(415) 353–7878,https://www.ucsfhealth.org/clinics/dermatologic_surgery_and_laser_center/,"Vbeam ®  Perfecta, Gentle Pro ™  Series"
Kaiser Health Plan Asset Management - Walnut Creek ," 1600 Owens Street, 9th FloorCosmetic Dermatology Dept.", San Francisco,California, United States     ,,,
"USHA RAJAGOPAL, MD INC. ", 1244 LARKIN ST STE 200, SAN FRANCISCO,CALIFORNIA, United States     ,(415) 392-3333,https://www.sfcosmeticsurgery.com,Vbeam ®  Perfecta
Dermatology Medical Group of San Francisco , 490 POST ST STE 700, SAN FRANCISCO,California, United States     ,(415) 362-2238,http://dermsf.com,"Vbeam ®  Perfecta, Gentle Pro ™  Series"
City Skin and Laser Clinic , 111 MAIDEN LN STE 720, San Francisco,California, United States     ,(415) 362-5555,http://www.citylaserclinic.com/,"Vbeam ®  Perfecta, Gentle Pro ™  Series"
"Dr. Caren Campbell, Inc ", 450 SUTTER ST RM 2340, SAN FRANCISCO,California, United States     ,(404) 276-1580,,
"Union Square Dermatology, APC ", 450 SUTTER ST RM 830, SAN FRANCISCO,California, United States     ,(415) 393-9550,https://unionsquarederm.com,Vbeam ®  Perfecta
"BURNS, MICHAEL M.D. ", 450 SUTTER ST RM 1412, SAN FRANCISCO,California, United States     ,(415) 362-4565,,
Skin Medical Spa , 1825 UNION ST, SAN FRANCISCO,California, United States     ,(415) 409-6500,https://www.skinmedicalspa.com,"Vbeam ®  Perfecta, Gentle Pro ™  Series"
"Michael G. Cedars, MD, Inc. ", 3300 WEBSTER ST STE 1106, OAKLAND,California, United States     ,(510) 763-2662,http://drrodan.com/,"Vbeam ®  Perfecta, Gentle Pro ™  Series"
Laub Dermatology & Aesthetics , 591 REDWOOD HWY FRONTAGE RD STE 2210, MILL VALLEY,California, United States     ,(415) 381-6661,https://www.LaubDermatology.com,"Vbeam ®  Prima, Vbeam ®  Perfecta, Gentle Pro ™  Series"
Allura Skin and Laser Center , 280 BALDWIN AVE, San Mateo,California, United States     ,(650) 344-1121,https://www.alluraskin.com,"CO2RE ® , Vbeam ®  Perfecta, Gentle Pro ™  Series"
Joint Base Elmendorf-Richardson ," FM5000 673 MDSS SGSM5955 Zeamer Ave", Anchorage,Alaska, United States     ,(907) 580-2538,,
Uconn Dermatology Associates , 21 SOUTH RD STE 200, FARMINGTON,Connecticut, United States     ,(860) 679-4600,https://uchc.edu,Vbeam ®  Perfecta
FACIAL PLASTIC SURGERY CENTER OF NEW ENGLAND , 35 NOD RD STE 204, AVON,Connecticut, United States     ,(860) 404-6133,https://www.stanislawmd.com,Vbeam ®  Perfecta
