provider-name,street,city,state,country,number,website link,in this location
Naval Hospital Pensacola , 6000 W HIGHWAY 98, Pensacola,Florida, United States     ,(850) 505-6419,http://www.med.navy.mil/sites/pcola/Departments/Dermatology/Pages/default.aspx,"Vbeam ®  Prima, Vbeam ®  Perfecta"
Naval Hospital Pensacola , 6000 W HIGHWAY 98, Pensacola,Florida, United States     ,(850) 505-6419,http://www.med.navy.mil/sites/pcola/Departments/Dermatology/Pages/default.aspx,"Vbeam ®  Prima, Vbeam ®  Perfecta"
"University of Alabama Health Services Foundation, P.C. ", 1940 ELMER J BISSELL RD, Birmingham,Alabama, United States     ,(205) 934-4146,https://uabmc.edu,Vbeam ®  Prima
"University of Alabama Health Services Foundation, P.C. ", 1940 ELMER J BISSELL RD, Birmingham,Alabama, United States     ,(205) 934-4146,https://uabmc.edu,Vbeam ®  Prima
"University of Alabama Health Services Foundation, P.C. ", 1940 ELMER J BISSELL RD, Birmingham,Alabama, United States     ,(205) 934-4146,https://uabmc.edu,Vbeam ®  Prima
"University of Alabama Health Services Foundation, P.C. ", 1940 ELMER J BISSELL RD, Birmingham,Alabama, United States     ,(205) 934-4146,https://uabmc.edu,Vbeam ®  Prima
"University of Alabama Health Services Foundation, P.C. ", 1940 ELMER J BISSELL RD, Birmingham,Alabama, United States     ,(205) 934-4146,https://uabmc.edu,Vbeam ®  Prima
"University of Alabama Health Services Foundation, P.C. ", 1940 ELMER J BISSELL RD, Birmingham,Alabama, United States     ,(205) 934-4146,https://uabmc.edu,Vbeam ®  Prima
"University of Alabama Health Services Foundation, P.C. ", 1940 ELMER J BISSELL RD, Birmingham,Alabama, United States     ,(205) 934-4146,https://uabmc.edu,Vbeam ®  Prima
"University of Alabama Health Services Foundation, P.C. ", 1940 ELMER J BISSELL RD, Birmingham,Alabama, United States     ,(205) 934-4146,https://uabmc.edu,Vbeam ®  Prima
"University of Alabama Health Services Foundation, P.C. ", 1940 ELMER J BISSELL RD, Birmingham,Alabama, United States     ,(205) 934-4146,https://uabmc.edu,Vbeam ®  Prima
"University of Alabama Health Services Foundation, P.C. ", 1940 ELMER J BISSELL RD, Birmingham,Alabama, United States     ,(205) 934-4146,https://uabmc.edu,Vbeam ®  Prima
"University of Alabama Health Services Foundation, P.C. ", 1940 ELMER J BISSELL RD, Birmingham,Alabama, United States     ,(205) 934-4146,https://uabmc.edu,Vbeam ®  Prima
"University of Alabama Health Services Foundation, P.C. ", 1940 ELMER J BISSELL RD, Birmingham,Alabama, United States     ,(205) 934-4146,https://uabmc.edu,Vbeam ®  Prima
"University of Alabama Health Services Foundation, P.C. ", 1940 ELMER J BISSELL RD, Birmingham,Alabama, United States     ,(205) 934-4146,https://uabmc.edu,Vbeam ®  Prima
"University of Alabama Health Services Foundation, P.C. ", 1940 ELMER J BISSELL RD, Birmingham,Alabama, United States     ,(205) 934-4146,https://uabmc.edu,Vbeam ®  Prima
