provider-name,street,city,state,country,number,website link,in this location
Hartford HealthCare , 399 FARMINGTON AVE STE 260, FARMINGTON,Connecticut, United States     ,(860) 972-5812,https://hhchealth.org,Vbeam ®  Prima
Laub Dermatology & Aesthetics , 591 REDWOOD HWY FRONTAGE RD STE 2210, MILL VALLEY,California, United States     ,(415) 381-6661,https://www.LaubDermatology.com,"Gentle Pro ™  Series, Vbeam ®  Perfecta, Vbeam ®  Prima"
ARKANSAS CHILDREN'S HOSPITAL , 1900 MARYLAND AVE, LITTLE ROCK,Arkansas, United States     ,(501) 364-2656,https://archildrens.org,"Vbeam ®  Prima, Gentle Pro ™  Series"
University of Colorado Anschutz Medical Campus , 1665 AURORA CT FL 3 MAILSTOP F703, Aurora,Colorado, United States     ,(303) 724-7770,https://cuanschutz.edu,Vbeam ®  Prima
CHCO Dermatology Clinic Anschutz , 13123 E 16TH AVE, AURORA,Colorado, United States     ,(720) 777-1234,https://childrenscolorado.org,"Vbeam ®  Perfecta, Vbeam ®  Prima"
Colorado Skin and Vein , 195 INVERNESS DR W STE 110, ENGLEWOOD,Colorado, United States     ,(303) 683-3235,https://www.coloradoskinandvein.com/,"Vbeam ®  Perfecta, Vbeam ®  Prima, Profound ™"
Mayoral Dermatology , 6705 S RED RD STE 314, SOUTH MIAMI,Florida, United States     ,(305) 665-6166,https://www.MayoralDerm.com,"Vbeam ®  Prima, Gentle Pro ™  Series"
Miami Dermatology & Laser Research , 7800 SW 87TH AVE STE B200, MIAMI,Florida, United States     ,(305) 279-6060,http://www.miamidermlaser.com/,"Vbeam ®  Prima, Vbeam ®  Perfecta, Gentle Pro ™  Series, Nordlys ™"
Illinois Dermatology Institute , 25 E WASHINGTON ST STE 1221, CHICAGO,Illinois, United States     ,(847) 675-9711,https://www.idi-skokie.com,Vbeam ®  Prima
The University of Chicago Medical Center , 355 E GRAND AVE FL 2, Chicago,Illinois, United States     ,(773) 834-9057,https://uchospitals.edu,Vbeam ®  Prima
Pediatric Dermatology of Kansas City , 2001 SHAWNEE MISSION PKWY, MISSION WOODS,Kansas, United States     ,(913) 228-2000,,
Dermatology Associates of Atlanta , 5555 PEACHTREE DUNWOODY RD STE 190, ATLANTA,Georgia, United States     ,(404) 256-4457,http://www.dermatlanta.com/,"PicoWay ® , Vbeam ®  Prima, Gentle Pro ™  Series, Vbeam ®  Perfecta"
Ada West Dermatology , 1618 S MILLENIUM WAY STE 100, MERIDIAN,Idaho, United States     ,(208) 884-3376,http://www.adawestdermatology.com/,"Vbeam ®  Prima, Gentle Pro ™  Series"
Louisville Surgery Center , 444 S 1ST ST, Louisville,Kentucky, United States     ,(502) 238-2888,http://www.louisvillesurgerycenter.com/,Vbeam ®  Prima
O'Daniel Studios , 132 CHENOWETH LN, LOUISVILLE,Kentucky, United States     ,(502) 584-1109,http://www.drodaniel.com/,"CO2RE ® , Vbeam ®  Prima, Gentle Pro ™  Series, Profound ™"
"Intermed, P.A. ", 100 FODEN RD W BLDG, SOUTH PORTLAND,Maine, United States     ,207-523-3613,https://intermed.com,"Vbeam ®  Perfecta, Vbeam ®  Prima"
University of Mississippi Medical Center , 201 NORTHLAKE AVE STE 211, RIDGELAND,MISSISSIPPI, United States     ,(601) 853-6333,http://www.thefaceandskincenter.com,"Vbeam ®  Prima, Gentle Pro ™  Series, Vbeam ®  Perfecta"
Minneapolis VA Health Care System , 1 VETERANS DR, MINNEAPOLIS,Minnesota, United States     ,(000) 000-0000,http://www.minneapolis.va.gov/,Vbeam ®  Prima
Dermatology Consultants , 576 BIELENBERG DR STE 200, WOODBURY,Minnesota, United States     ,(651) 251-3300,http://www.dermatologyconsultants.com,"Vbeam ®  Prima, CO2RE ®"
Hennepin County Medical Center - Burn & Reconstructive Surgery , 901 S 6TH ST, MINNEAPOLIS,Minnesota, United States     ,(612) 873-2811,https://hcmed.org,Vbeam ®  Prima
Park Nicollet Health Services , 3800 PARK NICOLLET BLVD, Saint Louis Park,Minnesota, United States     ,(952) 993-3123,https://parknicollet.com,Vbeam ®  Prima
Ridenour Plastic Surgery , 12460 OLIVE BLVD STE 202, SAINT LOUIS,Missouri, United States     ,(314) 878-8600,https://www.ridenourplasticsurgery.com,"Profound ™ , Exceed ™ , Vbeam ®  Prima, Vbeam ®  Perfecta, CO2RE ® , Matrix ™ , PicoWay ®"
Nebraska Medical Center , 20310 BLUE SAGE PKWY, Omaha,Nebraska, United States     ,(402) 596-4000,http://surgeryvp.com/,Vbeam ®  Prima
UNM Hospitals , 1021 MEDICAL ARTS AVE NE, ALBUQUERQUE New,Mexico, United States     ,(505) 272-6222,http://hsc.unm.edu/health/,"Vbeam ®  Prima, Vbeam ®  Perfecta, Gentle Pro ™  Series"
Jane Yoo , 162 W 56TH ST STE 304, NEW YORK New,York, United States     ,(646) 844-0424,https://www.janeyoomd.com,"PicoWay ® , Vbeam ®  Prima"
Union Square Laser Dermatology , 19 UNION SQ W FL 5, NEW YORK New,York, United States     ,(212) 366-5400,https://www.unionderm.com,"Vbeam ®  Prima, VelaShape ® , PicoWay ® , Matrix ™"
P Frank  MD , 132 PERRY ST, NEW YORK New,York, United States     ,(212) 327-2919,http://www.pfrankmd.com,Vbeam ®  Prima
"Eastside Dermatology Services, P.C. ", 317 E 34TH ST, NEW YORK New,York, United States     ,(212) 686-7306,http://www.laserskinsurgery.com/,"Vbeam ®  Perfecta, Gentle Pro ™  Series, VelaShape ® , CO2RE ® , Vbeam ®  Prima"
New York Center for Facial Plastic & Laser Surgery , 630 PARK AVE, NEW YORK New,York, United States     ,(212) 570-2500,https://www.newyorkfacialplasticsurgery.com/,"Profound ™ , Vbeam ®  Prima"
MEMORIAL SLOAN-KETTERING CANCER CENTER , 545 E 73RD ST, NEW YORK New,York, United States     ,(212) 639-2000,http://www.mskcc.org/,Vbeam ®  Prima
"Orit Markowitz, MD ", 1150 5TH AVE STE 1A, NEW YORK New,York, United States     ,(212) 828-3120,https://optiskinmedical.com,"Gentle Pro ™  Series, PicoWay ® , Matrix ™ , CO2RE ® , Vbeam ®  Prima"
Columbia University , 161 FORT WASHINGTON AVE FL 12, New York New,York, United States     ,(212) 305-3969,http://dermatology.columbia.edu/,"Vbeam ®  Perfecta, Vbeam ®  Prima"
METRO DERMATOLOGY , 2175 LEMOINE AVE FL 6, Fort Lee New,Jersey, United States     ,(718) 886-9000,http://leedermatology.com/,Vbeam ®  Prima
SUNY Downstate Medical Center , 450 CLARKSON AVE, BROOKLYN NEW,YORK, United States     ,(847) 373-2974,https://downstate.edu,"PicoWay ® , Vbeam ®  Prima"
METRO DERMATOLOGY , 14472 NORTHERN BLVD STE 202 STE 202-203, FLUSHING New,York, United States     ,(718) 886-9000,http://leedermatology.com/,"Gentle Pro ™  Series, Vbeam ®  Prima"
Moncrief Army Health Clinic - Fort Jackson , 4500 STUART AVE, COLUMBIA South,Carolina, United States     ,(803) 751-2380,,
"BERNSTEIN, ERIC MD (MAB) ", 32 PARKING PLZ STE 200, ARDMORE,PENNSYLVANIA, United States     ,(610) 645-5551,https://www.dermguy.com,"Vbeam ®  Perfecta, PicoWay ® , Vbeam ®  Prima, CO2RE ® , Gentle Pro ™  Series"
Columbia Skin Clinic , 7039 SAINT ANDREWS RD, COLUMBIA SOUTH,CAROLINA, United States     ,(619) 929-6261,,
